Kod,Nazev,Kategorie
Y2028,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;školy,úřady;jiné urč.činnosti",
Y2029,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; školy, úřady; NS činnosti",
Y203,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; sportoviště",
Y2030,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; sportoviště; sport",
Y2031,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; sportoviště; volný čas",
Y2032,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;sportoviště;výdělečná činnost",
Y2033,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; sportoviště; jiné práce",
Y2034,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; sportoviště; odpočinek,jídlo",
Y2038,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;sportoviště;jiné urč.činnosti",
Y2039,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; sportoviště; NS činnosti",
Y204,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice",
Y2040,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice; sport",
Y2041,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice; volný čas",
Y2042,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;ulice a silnice;výděl.činnost",
Y2043,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice; jiné práce",
Y2044,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice;odpoč.,jídlo",
Y2048,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice; j.urč.činn.",
Y2049,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; ulice a silnice; NS činnosti",
Y205,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody a služby",
Y2050,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody a služby; sport",
Y2051,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody a služby; volný čas",
Y2052,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody,služby;výděl.činnost",
Y2053,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody a služby; jiné práce",
Y2054,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody,služby; odpoč.,jídlo",
Y2058,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;obchody,služby;j.urč.činnosti",
Y2059,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; obchody a služby;NS činnosti",
Y206,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; průmysl.objekty",
Y2060,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; průmysl.objekty; sport",
Y2061,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; průmysl.objekty; volný čas",
Y2062,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;průmysl.objekty;výděl.činnost",
Y2063,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; průmysl.objekty; jiné práce",
Y2064,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; průmysl.objekty;odpoč.,jídlo",
Y2068,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; prům.objekty; j.urč.činnosti",
Y2069,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; průmysl.objekty; NS činnosti",
Y207,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; zemědělství",
Y2070,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; zemědělství; sport",
Y2071,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; zemědělství; volný čas",
Y2072,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;zemědělství;výdělečná činnost",
Y2073,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; zemědělství; jiné práce",
Y2074,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; zemědělství; odpočinek,jídlo",
Y2078,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;zemědělství;jiné urč.činnosti",
Y2079,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; zemědělství; NS činnosti",
Y208,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná určená místa",
Y2080,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná urč.místa; sport",
Y2081,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná urč.místa; volný čas",
Y2082,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná urč.místa;výděl.činnost",
Y2083,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná urč.místa; jiné práce",
Y2084,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná urč.místa; odpoč.,jídlo",
Y2088,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu;jiná urč.místa;j.urč.činnosti",
Y2089,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; jiná urč.místa; NS činnosti",
Y209,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo",
Y2090,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; sport",
Y2091,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; volný čas",
Y2092,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; výdělečná činnost",
Y2093,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; jiné práce",
Y2094,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; odpočinek, jídlo",
Y2098,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; jiné urč.činnosti",
Y2099,"Oběšení‚uškrcení,zadušení‚nezjišt.úmyslu; NS místo; NS činnosti",
Y21,(U)topení a potopení‚ nezjištěného úmyslu,
Y210,(U)topení a potopení‚ nezjištěného úmyslu; domov,
Y2100,(U)topení a potopení‚ nezjištěného úmyslu; domov; sport,
Y2101,(U)topení a potopení‚ nezjištěného úmyslu; domov; volný čas,
Y2102,(U)topení a potopení‚ nezjištěného úmyslu; domov; výdělečná činnost,
Y2103,(U)topení a potopení‚ nezjištěného úmyslu; domov; jiné práce,
Y2104,"(U)topení a potopení‚ nezjištěného úmyslu; domov; odpočinek, jídlo",
Y2108,(U)topení a potopení‚ nezjištěného úmyslu; domov; jiné určené činnosti,
Y2109,(U)topení a potopení‚ nezjištěného úmyslu; domov; NS činnosti,
Y211,(U)topení a potopení‚ nezjištěného úmyslu; obytná instituce,
Y2110,(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.; sport,
Y2111,(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.; volný čas,
Y2112,(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.;výděl.činnost,
Y2113,(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.; jiné práce,
Y2114,"(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.; odpoč.,jídlo",
Y2118,(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.; j.urč.činn.,
Y2119,(U)topení a potopení‚ nezjištěného úmyslu;obytná instit.; NS činnosti,
Y212,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady",
Y2120,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady; sport",
Y2121,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady; volný čas",
Y2122,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady; výděl.činnost",
Y2123,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady; jiné práce",
Y2124,"(U)topení a potopení‚ nezjištěného úmyslu; školy,úřady;odpočinek,jídlo",
Y2128,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady;j.urč.činnosti",
Y2129,"(U)topení a potopení‚ nezjištěného úmyslu; školy, úřady; NS činnosti",
Y213,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště,
Y2130,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště; sport,
Y2131,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště; volný čas,
Y2132,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště; výděl.činnost,
Y2133,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště; jiné práce,
Y2134,"(U)topení a potopení‚ nezjištěného úmyslu; sportoviště;odpočinek,jídlo",
Y2138,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště; j.urč.činnosti,
Y2139,(U)topení a potopení‚ nezjištěného úmyslu; sportoviště; NS činnosti,
Y214,(U)topení a potopení‚ nezjištěného úmyslu; ulice a silnice,
Y2140,(U)topení a potopení‚ nezjištěného úmyslu; ulice a silnice; sport,
Y2141,(U)topení a potopení‚ nezjištěného úmyslu; ulice a silnice; volný čas,
Y2142,"(U)topení a potopení‚ nezjištěného úmyslu; ulice,silnice;výděl.činnost",
Y2143,(U)topení a potopení‚ nezjištěného úmyslu; ulice a silnice; jiné práce,
Y2144,"(U)topení a potopení‚ nezjištěného úmyslu; ulice,silnice;odpoč.,jídlo",
Y2148,"(U)topení a potopení‚ nezjištěného úmyslu;ulice,silnice;j.urč.činnosti",
Y2149,(U)topení a potopení‚ nezjištěného úmyslu; ulice a silnice;NS činnosti,
Y215,(U)topení a potopení‚ nezjištěného úmyslu; obchody a služby,
Y2150,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby; sport",
Y2151,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby; volný čas",
Y2152,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby;výděl.činnost",
Y2153,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby; jiné práce",
Y2154,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby; odpoč.,jídlo",
Y2158,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby; j.urč.činn.",
Y2159,"(U)topení a potopení‚ nezjištěného úmyslu;obchody,služby; NS činnosti",
Y216,(U)topení a potopení‚ nezjištěného úmyslu; průmysl.objekty,
Y2160,(U)topení a potopení‚ nezjištěného úmyslu; průmysl.objekty; sport,
Y2161,(U)topení a potopení‚ nezjištěného úmyslu; průmysl.objekty; volný čas,
Y2162,(U)topení a potopení‚ nezjištěného úmyslu; prům.objekty; výděl.činnost,
Y2163,(U)topení a potopení‚ nezjištěného úmyslu; průmysl.objekty; jiné práce,
Y2164,"(U)topení a potopení‚ nezjištěného úmyslu; prům.objekty; odpoč., jídlo",
Y2168,(U)topení a potopení‚ nezjištěného úmyslu; prům.objekty;j.urč.činnosti,
Y2169,(U)topení a potopení‚ nezjištěného úmyslu; průmysl.objekty;NS činnosti,
Y217,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství,
Y2170,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství; sport,
Y2171,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství; volný čas,
Y2172,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství; výděl.činnost,
Y2173,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství; jiné práce,
Y2174,"(U)topení a potopení‚ nezjištěného úmyslu; zemědělství;odpočinek,jídlo",
Y2178,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství; j.urč.činnosti,
Y2179,(U)topení a potopení‚ nezjištěného úmyslu; zemědělství; NS činnosti,
Y218,(U)topení a potopení‚ nezjištěného úmyslu; jiná určená místa,
Y2180,(U)topení a potopení‚ nezjištěného úmyslu; jiná urč.místa; sport,
Y2181,(U)topení a potopení‚ nezjištěného úmyslu; jiná urč.místa; volný čas,
Y2182,(U)topení a potopení‚ nezjištěného úmyslu; j.urč.místa; výděl.činnost,
Y2183,(U)topení a potopení‚ nezjištěného úmyslu; jiná urč.místa; jiné práce,
Y2184,"(U)topení a potopení‚ nezjištěného úmyslu; jiná urč.místa;odpoč.,jídlo",
Y2188,(U)topení a potopení‚ nezjištěného úmyslu; j.urč.místa; j.urč.činnosti,
Y2189,(U)topení a potopení‚ nezjištěného úmyslu; jiná urč.místa; NS činnosti,
Y219,(U)topení a potopení‚ nezjištěného úmyslu; NS místo,
Y2190,(U)topení a potopení‚ nezjištěného úmyslu; NS místo; sport,
Y2191,(U)topení a potopení‚ nezjištěného úmyslu; NS místo; volný čas,
Y2192,(U)topení a potopení‚ nezjištěného úmyslu; NS místo; výdělečná činnost,
Y2193,(U)topení a potopení‚ nezjištěného úmyslu; NS místo; jiné práce,
Y2194,"(U)topení a potopení‚ nezjištěného úmyslu; NS místo; odpočinek, jídlo",
Y2198,(U)topení a potopení‚ nezjištěného úmyslu; NS místo; jiné urč.činnosti,
Y2199,(U)topení a potopení‚ nezjištěného úmyslu; NS místo; NS činnosti,
Y22,Výstřel z pistole‚ revolveru‚ nezjištěného úmyslu,
Y220,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov,
Y2200,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov; sport,
Y2201,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov; volný čas,
Y2202,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov; výdělečná činnost,
Y2203,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov; jiné práce,
Y2204,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov; odpočinek, jídlo",
Y2208,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov;jiné určené činnosti,
Y2209,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; domov; NS činnosti,
Y221,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; obytná instituce,
Y2210,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.; sport,
Y2211,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.; volný čas,
Y2212,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.; výděl.činn.,
Y2213,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.; jiné práce,
Y2214,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.;odpoč.,jídlo",
Y2218,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.; j.urč.činn.,
Y2219,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obytná instit.; NS činnosti,
Y222,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy, úřady",
Y2220,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy, úřady; sport",
Y2221,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy, úřady; volný čas",
Y2222,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy, úřady;výděl.činnost",
Y2223,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy, úřady; jiné práce",
Y2224,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;školy,úřady;odpočinek,jídlo",
Y2228,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy,úřady;j.urč.činnosti",
Y2229,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; školy, úřady; NS činnosti",
Y223,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště,
Y2230,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště; sport,
Y2231,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště; volný čas,
Y2232,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště; výděl.činnost,
Y2233,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště; jiné práce,
Y2234,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;sportoviště;odpočinek,jídlo",
Y2238,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště;j.urč.činnosti,
Y2239,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; sportoviště; NS činnosti,
Y224,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; ulice a silnice,
Y2240,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice; sport",
Y2241,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice; volný čas",
Y2242,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice;výděl.činnost",
Y2243,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice; jiné práce",
Y2244,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice; odpoč.,jídlo",
Y2248,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice; j.urč.činn.",
Y2249,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;ulice,silnice; NS činnosti",
Y225,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; obchody a služby,
Y2250,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby; sport",
Y2251,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby; volný čas",
Y2252,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby; výděl.činn.",
Y2253,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby; jiné práce",
Y2254,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby;odpoč.,jídlo",
Y2258,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby; j.urč.činn.",
Y2259,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;obchody,služby; NS činnosti",
Y226,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; průmysl.objekty,
Y2260,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty; sport,
Y2261,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty; volný čas,
Y2262,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty; výděl.činnost,
Y2263,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty; jiné práce,
Y2264,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty; odpoč., jídlo",
Y2268,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty;j.urč.činnosti,
Y2269,Výstřel z pistole‚revolveru‚nezjišt.úmyslu;prům.objekty; NS činnosti,
Y227,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství,
Y2270,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství; sport,
Y2271,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství; volný čas,
Y2272,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství; výděl.činnost,
Y2273,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství; jiné práce,
Y2274,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství; odpoč., jídlo",
Y2278,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství;j.urč.činnosti,
Y2279,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; zemědělství; NS činnosti,
Y228,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; jiná určená místa,
Y2280,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; jiná urč.místa; sport,
Y2281,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; jiná urč.místa; volný čas,
Y2282,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; j.urč.místa; výděl.činnost,
Y2283,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; jiná urč.místa; jiné práce,
Y2284,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu;jiná urč.místa;odpoč.,jídlo",
Y2288,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; j.urč.místa;j.urč.činnosti,
Y2289,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; jiná urč.místa;NS činnosti,
Y229,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo,
Y2290,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo; sport,
Y2291,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo; volný čas,
Y2292,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo;výdělečná činnost,
Y2293,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo; jiné práce,
Y2294,"Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo; odpočinek, jídlo",
Y2298,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo;jiné urč.činnosti,
Y2299,Výstřel z pistole‚revolveru‚nezjišt.úmyslu; NS místo; NS činnosti,
Y23,Výstřel z pušky‚brokovnice a větší ruční střelné zbraně‚nezjišt.úmyslu,
Y230,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov,
Y2300,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; sport,
Y2301,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; volný čas,
Y2302,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; výdělečná činnost,
Y2303,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; jiné práce,
Y2304,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; odpočinek, jídlo",
Y2308,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; jiné urč.činnosti,
Y2309,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; domov; NS činnosti,
Y231,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; obytná instituce,
Y2310,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.; sport,
Y2311,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.; volný čas,
Y2312,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.; výděl.činn.,
Y2313,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.; jiné práce,
Y2314,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.;odpoč.,jídlo",
Y2318,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.; j.urč.činn.,
Y2319,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;obyt.instit.; NS činnosti,
Y232,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy, úřady",
Y2320,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy, úřady; sport",
Y2321,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy, úřady; volný čas",
Y2322,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;školy,úřady;výděl.činnost",
Y2323,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy, úřady; jiné práce",
Y2324,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy,úřady;odpoč.,jídlo",
Y2328,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy,úřady;j.urč.činn.",
Y2329,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; školy, úřady;NS činnosti",
Y233,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště,
Y2330,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště; sport,
Y2331,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště; volný čas,
Y2332,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;sportoviště;výděl.činnost,
Y2333,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště; jiné práce,
Y2334,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště;odpoč.,jídlo",
Y2338,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště; j.urč.činn.,
Y2339,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; sportoviště; NS činnosti,
Y234,Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu; ulice a silnice,
Y2340,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;ulice,siln.; sport",
Y2341,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;ulice,siln.; volný čas",
Y2342,"Výstřel z pušky‚větší ruč.zbraně‚nezj.úmyslu;ulice,siln.;výděl.činnost",
